City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,new norfolk,-42.7826,147.0587,9.72,95,1,1.04,AU,1710434449
231,adamovka,51.5223,59.9396,-7.21,93,80,6.37,RU,1710434449
232,genhe,50.7833,121.5167,-7.35,87,81,3.87,CN,1710434449
233,lebu,-37.6167,-73.65,16.03,61,1,6.86,CL,1710434449
234,puerto carreno,6.189,-67.4859,34.99,46,39,4.12,CO,1710434449
235,nazarovo,56.0064,90.3914,-8.54,91,78,3.58,RU,1710434449
236,arraial do cabo,-22.9661,-42.0278,28.98,65,0,8.75,BR,1710434260
237,northam,51.0333,-4.2167,12.99,96,100,8.03,GB,1710434449
238,torghay,49.6339,63.4981,-10.65,94,52,4.31,KZ,1710434449
239,labrador city,52.9463,-66.9114,-1.05,86,100,0.0,CA,1710434449
240,hasaki,35.7333,140.8333,6.22,53,1,5.43,JP,1710434449
241,terbanggi besar,-4.8667,105.2333,25.03,86,100,0.7,ID,1710434449
242,amga,60.8953,131.9608,-29.61,100,94,0.6,RU,1710434449
243,alaghsas,17.0187,8.0168,40.94,6,0,5.14,NE,1710434449
244,abqaiq,25.9371,49.6776,24.3,29,99,3.62,SA,1710434449
245,grand gaube,-20.0064,57.6608,27.43,77,38,2.24,MU,1710434449
246,beloyarskiy,63.7119,66.6722,-12.85,98,100,2.12,RU,1710434449
247,selfoss,63.9331,-20.9971,0.58,60,100,5.36,IS,1710434450
248,lira,2.235,32.9097,30.83,24,74,3.85,UG,1710434450
249,gamba,-2.65,10.0,27.8,81,62,4.24,GA,1710434450
250,gambela,8.25,34.5833,32.63,31,35,1.02,ET,1710434450
251,muisne,0.6,-80.0333,28.34,76,69,3.99,EC,1710434450
252,malpica,43.3228,-8.8105,17.09,53,97,6.17,ES,1710434450
253,kununurra,-15.7667,128.7333,27.99,89,99,1.03,AU,1710434162
254,merizo village,13.2658,144.6691,26.31,83,100,7.8,GU,1710434450
255,malvan,16.0667,73.4667,24.98,72,0,6.07,IN,1710434450
256,udachny,66.4167,112.4,-31.58,98,73,2.06,RU,1710434450
257,crane,31.3974,-102.3501,21.4,20,0,2.33,US,1710434450
258,essaouira,31.5125,-9.77,21.72,64,20,5.14,MA,1710434450
259,happy valley-goose bay,53.3168,-60.3315,1.17,69,75,0.0,CA,1710434450
260,hailey,43.5196,-114.3153,1.0,54,0,6.26,US,1710434450
261,wangdue phodrang,27.4862,89.8991,11.62,55,6,0.42,BT,1710434450
262,port saint john's,-31.6229,29.5448,20.35,80,25,0.9,ZA,1710434450
263,mabaruma,8.2,-59.7833,31.71,53,62,4.34,GY,1710434450
264,armacao de buzios,-22.7469,-41.8817,31.03,73,7,4.42,BR,1710434451
265,kerikeri,-35.2268,173.9474,16.04,95,34,2.87,NZ,1710434451
266,naples park,26.2617,-81.8093,29.99,65,0,2.57,US,1710434451
267,guarapari,-20.6667,-40.4975,29.38,75,27,3.75,BR,1710434451
268,bodaybo,57.8506,114.1933,-17.76,99,100,0.83,RU,1710434451
269,sur,22.5667,59.5289,23.99,58,20,0.43,OM,1710434451
270,freeport,40.6576,-73.5832,21.34,56,0,2.68,US,1710434451
271,clear lake,43.138,-93.3794,10.93,69,100,5.14,US,1710434382
272,papatowai,-46.5619,169.4708,7.52,88,100,5.74,NZ,1710434451
273,conception bay south,47.4999,-52.9981,2.25,89,87,6.61,CA,1710434338
274,sogndal,61.2283,7.1003,7.21,70,75,7.72,NO,1710434452
275,camacupa,-12.0167,17.4833,20.59,85,97,0.6,AO,1710434452
276,bintulu,3.1667,113.0333,26.23,94,20,0.0,MY,1710434452
277,ketchikan,55.3422,-131.6461,8.26,93,100,6.69,US,1710434452
278,mawlamyinegyunn,16.3833,95.2667,23.96,79,8,4.28,MM,1710434452
279,horta,38.5333,-28.6333,17.8,89,40,9.39,PT,1710434452
280,mar del plata,-38.0023,-57.5575,27.01,51,0,6.69,AR,1710433864
281,tamanrasset,22.785,5.5228,27.95,7,0,8.23,DZ,1710434452
282,dakhla,23.6848,-15.958,21.01,78,0,8.23,EH,1710434452
